City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Praia,CV,2021-03-24 23:12:50,14.9215,-23.5087,68.0,77,0,17.27
230,Okitipupa,NG,2021-03-24 23:12:50,6.5047,4.7839,76.96,84,98,5.37
231,North Bend,US,2021-03-24 23:08:27,43.4065,-124.2243,48.99,93,90,9.22
232,Mazarron,ES,2021-03-24 23:12:50,37.5992,-1.3149,55.99,91,1,1.01
233,Ambulu,ID,2021-03-24 23:12:51,-8.345,113.6058,75.6,88,100,2.77
234,Sunrise Manor,US,2021-03-24 23:12:51,36.2111,-115.0731,68.0,14,1,6.91
235,Xuddur,SO,2021-03-24 23:12:51,4.1213,43.8894,74.19,35,0,10.83
236,Saint-Francois,FR,2021-03-24 23:12:51,46.4154,3.9054,44.01,87,0,3.44
237,Dunedin,NZ,2021-03-24 23:12:52,-45.8742,170.5036,55.99,91,100,7.0
238,Skjervoy,NO,2021-03-24 23:12:52,70.0311,20.9714,39.24,92,100,27.51
239,Shenjiamen,CN,2021-03-24 23:12:52,29.9576,122.298,52.2,85,2,8.19
240,Callaguip,PH,2021-03-24 23:12:52,18.0714,120.4867,75.2,88,20,2.3
241,Doha,QA,2021-03-24 23:12:07,25.2867,51.5333,79.0,64,0,6.91
242,Kemijarvi,FI,2021-03-24 23:12:53,66.7131,27.4306,33.39,74,7,19.26
243,Surt,LY,2021-03-24 23:10:27,31.2089,16.5887,57.45,55,57,15.75
244,Derbent,RU,2021-03-24 23:09:24,42.0678,48.2899,45.12,87,100,8.21
245,Bandarbeyla,SO,2021-03-24 23:12:53,9.4942,50.8122,75.94,62,0,5.37
246,Berberati,CF,2021-03-24 23:12:54,4.2612,15.7922,68.05,93,100,1.7
247,Oromocto,CA,2021-03-24 23:09:30,45.8351,-66.4792,53.6,50,75,8.05
248,Mujiayingzi,CN,2021-03-24 23:12:54,42.1167,118.7833,43.75,42,46,9.95
249,Bubaque,GW,2021-03-24 23:12:54,11.2833,-15.8333,77.77,68,46,17.27
250,Inhambane,MZ,2021-03-24 23:12:55,-23.865,35.3833,70.65,81,18,7.07
251,Alofi,NU,2021-03-24 23:12:55,-19.0595,-169.9187,86.0,74,75,9.22
252,Bereda,ES,2021-03-24 23:12:55,43.2686,-7.5406,37.0,97,87,1.99
253,Verkhnyaya Inta,RU,2021-03-24 23:12:55,65.9811,60.3094,26.35,94,93,15.73
254,Constitucion,CL,2021-03-24 23:12:56,-35.3333,-72.4167,56.5,78,8,15.66
255,Chunhuhub,MX,2021-03-24 23:12:56,19.55,-88.6833,88.74,48,1,8.21
256,Saquena,PE,2021-03-24 23:12:56,-4.6667,-73.5167,75.15,95,69,2.46
257,Luba,GQ,2021-03-24 23:12:57,3.4568,8.5547,73.4,94,75,6.91
258,Conde,BR,2021-03-24 23:12:57,-7.2597,-34.9075,75.2,100,75,9.22
259,Sur,OM,2021-03-24 23:12:57,22.5667,59.5289,76.15,59,0,8.21
